"parameter","chinese_name","calculation_description","source","meaning","formula"
"frontier_safe_max_level","frontier-safe 最大依赖层级","按严格下三角依赖自前向后计算 level[row] = 1 + max(level[pred])；无前驱行为 1。","build_frontier_safe_parent over StrictLowerDependencyGraph","用于判断唯一最深前驱，也是候选 parent 图的层级基础。","frontier_safe_max_level = max(level)"
"frontier_safe_eligible_rows","frontier-safe 可候选行数","对每行检查最深前驱是否唯一；唯一则生成 frontier_parent[row]。","frontier_parent from build_frontier_safe_parent","成功选择唯一最深前驱的行数。这只是候选 parent 口径，不保证最终形成长链。","frontier_safe_eligible_rows = Σ_i 1[frontier_parent[i] != -1]"
"frontier_safe_eligible_row_ratio","frontier-safe 可候选行占比","用 frontier_safe_eligible_rows 除以 n_rows；空矩阵时定义为 0。","frontier_safe_eligible_rows and n_rows","可生成 frontier-safe 候选 parent 的行占比。","frontier_safe_eligible_row_ratio = frontier_safe_eligible_rows / n_rows"
"frontier_safe_invalid_multi_deepest_rows","并列最深前驱冲突行数","如果某行存在多个 level 相同且都达到最大 level 的前驱，则该行无法唯一选择主依赖。","build_frontier_safe_parent","由于并列最深前驱而不进入候选 parent 图的行数。","frontier_safe_invalid_multi_deepest_rows = Σ_i 1[# deepest predecessors of i > 1]"
"frontier_safe_invalid_multi_deepest_row_ratio","并列最深前驱冲突行占比","用 frontier_safe_invalid_multi_deepest_rows 除以 n_rows；空矩阵时定义为 0。","invalid_multi_deepest_rows and n_rows","并列最深前驱冲突行在全部行中的比例。","frontier_safe_invalid_multi_deepest_row_ratio = frontier_safe_invalid_multi_deepest_rows / n_rows"
"frontier_safe_branch_rows","frontier-safe 分叉节点数","对候选 parent 反向统计 child 数量，child 数量大于 1 的节点为 frontier-safe 分叉节点。","build_strict_child_arrays(frontier_parent)","候选链不会穿过这些分叉节点。","frontier_safe_branch_rows = Σ_i 1[frontier_child_count[i] > 1]"
"frontier_safe_branch_row_ratio","frontier-safe 分叉节点占比","用 frontier_safe_branch_rows 除以 n_rows；空矩阵时定义为 0。","frontier_safe_branch_rows and n_rows","frontier-safe 分叉节点在全部行中的比例。","frontier_safe_branch_row_ratio = frontier_safe_branch_rows / n_rows"
"frontier_safe_boundary_cut_rows","frontier-safe 边界切链次数","沿候选链从 current 扩展到 child 时，检查 child 除 current 外的所有非主依赖 pred 是否都满足 pred < 当前链头 head；若不满足则在 child 前切链。","_can_extend_frontier_safe_chain and analyze_frontier_safe_chains_from_graph","候选链中由于链头边界不可保证而发生的切链次数。","frontier_safe_boundary_cut_rows = # cuts where ∃ pred != current, pred >= head"
"frontier_safe_chain_count","frontier-safe 链条数","先用唯一最深前驱生成候选 parent 边，再按链头边界已知规则切链，只统计长度 >= 2 的链段。","analyze_frontier_safe_chains_from_graph","最终保留下来的 frontier-safe 线性链段数量。","frontier_safe_chain_count = |{chain : len(chain) >= 2}|"
"frontier_safe_chain_row_coverage","frontier-safe 链覆盖节点数","对所有长度 >= 2 的 frontier-safe 链段累加链长，链长包含链头。","analyze_frontier_safe_chains_from_graph","最终 frontier-safe 链段覆盖的节点总数。","frontier_safe_chain_row_coverage = Σ len(chain), len(chain) >= 2"
