parameter,chinese_name,calculation_description,meaning,formula
status,状态,单个矩阵和参数组合是否成功完成；失败时仍写入一行。,ok 表示完成，failed 表示该矩阵失败但批处理继续。,"status ∈ {ok, failed}"
error,错误信息,失败矩阵记录 Python 异常文本；成功行为空。,用于批处理后定位无法读取、无法因子化或内存不足的输入。,error = str(exception) if failed else ''
matrix_name,矩阵名,默认来自输入 .mtx 文件名；spcg-ilu-l 来自生成的 L 因子名。,区分不同实验对象。,matrix_name = Path(input).stem 或 generated_factor_name
source,数据来源,由 --source 指定，可为 factor-l、spcg-ilu-l、matrix-lower。,标记当前统计对象是真实 L 因子、生成 L 因子还是原矩阵下三角。,"source ∈ {factor-l, spcg-ilu-l, matrix-lower}"
input_path,输入路径,实际被分析的 .mtx 路径；spcg-ilu-l 时为生成后的 L 因子路径。,用于复现实验输入。,input_path = analysis_path
n_rows,行数,从 Matrix Market 尺寸行读取，要求方阵。,三角系统变量数，也是覆盖率分母。,n_rows = M = N
drop_method,删元素方法,当前参数组合使用的删边策略。,比较 no-drop、普通删小值、波前导向和 scan-chain-aware 的核心字段。,drop_method ∈ DROP_METHODS
drop_ratio_target,目标删除比例,命令行 --drop-ratios 给定的目标 strict-lower 非零元删除比例。,控制同等删除预算下的比较。,target = requested_drop_nnz / strict_lower_nnz_before
drop_ratio_actual,实际删除比例,实际删除的 strict-lower 非零元数除以删除前 strict_lower_nnz。,受 risk threshold、每行删除上限、禁止删空等约束影响，可能小于目标比例。,drop_ratio_actual = dropped_nnz / strict_lower_nnz_before
risk_threshold,数值风险阈值,只允许删除 abs(a_ij)/max_abs(row_i) 不超过该阈值的边。,控制删边数值风险。,risk = |a_ij| / max_j |a_ij|
max_drop_per_row,每行最大删除数,每一行最多删除多少个 strict-lower 前驱；-1 表示不限。,避免在单行中过度删边。,row_drop_count[i] <= max_drop_per_row
keep_row_max_predecessor,保留每行最大幅值前驱,为 1 时不删除该行绝对值最大的 strict-lower 前驱。,降低破坏主数值依赖的风险。,drop edge e forbidden if e = argmax_j |a_ij|
forbid_empty_rows,禁止删空前驱行,为 1 时不允许把某一行所有 strict-lower 前驱全部删除。,避免把原本有依赖的行变成无依赖行。,pred_count_after[i] >= 1 if pred_count_before[i] >= 1
dropped_nnz,删除非零元数,被删除的 strict-lower 边数量，不含对角。,衡量稀疏化代价。,dropped_nnz = Σ_e 1[drop_mask[e]]
dropped_rows,发生删除的行数,至少删除了一个 strict-lower 前驱的行数。,衡量删边分布是否集中。,dropped_rows = Σ_i 1[row_drop_count[i] > 0]
strict_lower_nnz_before,删除前严格下三角非零元数,流式读取 L 的 j < i 边数量。,删除预算和链统计的边数基线。,"strict_lower_nnz_before = |{(i,j): j < i}|"
strict_lower_nnz_after,删除后严格下三角非零元数,删除 mask 后剩余的 strict-lower 边数量。,检查实际稀疏化结果。,strict_lower_nnz_after = strict_lower_nnz_before - dropped_nnz
single_pred_rows_before,删除前单前驱行数,删除前 pred_count[i] == 1 的行数。,strict scan 链可用内部节点的原始规模。,Σ_i 1[pred_count_before[i] == 1]
single_pred_rows_after,删除后单前驱行数,删除后 pred_count[i] == 1 的行数。,判断删边是否把多前驱行转成可 scan 行。,Σ_i 1[pred_count_after[i] == 1]
multi_pred_rows_before,删除前多前驱行数,删除前 pred_count[i] > 1 的行数。,strict scan 被阻塞的主要来源。,Σ_i 1[pred_count_before[i] > 1]
multi_pred_rows_after,删除后多前驱行数,删除后 pred_count[i] > 1 的行数。,判断阻塞行是否减少。,Σ_i 1[pred_count_after[i] > 1]
multi_pred_to_single_pred_rows,多前驱转单前驱行数,删除前 pred_count > 1 且删除后 pred_count == 1 的行数。,scan-chain-aware 方法最直接想增加的行集合。,Σ_i 1[pred_before[i] > 1 and pred_after[i] == 1]
strict_chain_count_before,删除前严格链条数,删除前按 strict single-predecessor 规则得到的长度 >= 2 链数。,天然 strict scan 链数量。,|{chain_before: len >= 2}|
strict_chain_count_after,删除后严格链条数,删除后按 strict single-predecessor 规则得到的长度 >= 2 链数。,删元素后可执行 strict scan 链数量。,|{chain_after: len >= 2}|
strict_chain_row_coverage_before,删除前严格链覆盖行数,删除前所有长度 >= 2 strict 链的链长之和。,天然 strict scan 链覆盖规模。,"Σ len(chain_before), len >= 2"
